date,wastewater volume,ww line 1,ww line 2,ww line 3,ww line 4,rainfall,temperature_2m,relative_humidity_2m,rain,precipitation
2018-07-01 01:00:00,1649.1,238.55,497.84,103.72,808.99,0.0,33.98,56.43,0.0,0.0
2018-07-01 02:00:00,1254.98,155.58,300.78,72.6,726.02,0.0,34.65,56.43,0.0,0.0
2018-07-01 03:00:00,622.3,114.09,186.69,31.12,290.41,0.0,34.24,60.2,0.0,0.0
2018-07-01 04:00:00,694.9,82.97,114.09,20.74,477.1,0.0,32.63,62.8,0.0,0.0
2018-07-01 05:00:00,186.69,62.23,93.35,31.12,0.0,0.0,32.01,62.09,0.0,0.0
2018-07-01 06:00:00,860.85,82.97,103.72,51.86,622.3,0.0,31.85,64.95,0.0,0.0
2018-07-01 07:00:00,746.76,114.09,269.66,93.35,269.66,0.0,31.07,69.47,0.0,0.0
2018-07-01 08:00:00,1794.3,228.18,560.07,186.69,819.36,0.0,30.3,78.91,0.0,0.0
2018-07-01 09:00:00,2053.6,290.41,757.13,186.69,819.36,0.0,29.1,82.6,0.0,0.0
2018-07-01 10:00:00,1970.62,259.29,715.65,176.32,819.36,0.0,28.22,78.82,0.0,0.0
2018-07-01 11:00:00,1783.93,248.92,591.19,134.83,808.99,0.0,27.39,79.17,0.0,0.0
2018-07-01 12:00:00,1483.15,217.81,518.58,124.46,622.3,0.0,26.67,82.52,0.0,0.0
2018-07-01 13:00:00,1566.13,217.81,456.35,72.6,819.36,0.0,26.3,86.33,0.0,0.0
2018-07-01 14:00:00,1503.9,197.06,414.87,103.72,788.25,0.0,25.84,89.49,0.0,0.0
2018-07-01 15:00:00,964.57,186.69,404.5,114.09,259.29,0.0,25.06,94.74,0.0,0.0
2018-07-01 16:00:00,1348.32,176.32,383.75,72.6,715.65,0.0,24.38,98.22,0.0,0.0
2018-07-01 17:00:00,1254.98,186.69,363.01,62.23,643.05,0.0,24.28,98.52,0.0,0.0
2018-07-01 18:00:00,1109.77,197.06,373.38,124.46,414.87,0.0,24.33,97.62,0.0,0.0
2018-07-01 19:00:00,1617.99,228.18,435.61,103.72,850.48,0.0,24.75,95.3,0.0,0.0
2018-07-01 20:00:00,1732.07,259.29,528.96,114.09,829.74,0.0,24.85,95.31,0.0,0.0
2018-07-01 21:00:00,1949.88,280.04,632.67,197.06,840.11,0.0,26.46,89.55,0.0,0.0
2018-07-01 22:00:00,2043.22,321.52,705.28,186.69,829.74,0.0,28.12,83.98,0.0,0.0
2018-07-01 23:00:00,2053.6,321.52,736.39,155.58,840.11,0.0,29.88,76.97,0.0,0.0
2018-07-02 00:00:00,1856.53,280.04,632.67,103.72,840.11,0.0,31.64,69.37,0.0,0.0
2018-07-02 01:00:00,1669.84,238.55,466.73,134.83,829.74,0.0,32.11,67.2,0.0,0.0
